A1: Ladder,"B1: Library 1, with own oligos","C1: Library 2, with NXT oligos","D1: Library 3, without enrichment"
728.7878,2.435091,1.41803,1.527483
639.9061,2.460329,1.699274,1.559226
542.6411,2.445709,1.792278,1.313212
448.6913,2.390068,1.32885,1.397524
364.782,2.388299,1.261925,1.279172
293.6121,2.402705,1.447378,1.315727
233.4469,2.445596,1.400218,1.27663
184.4731,2.485747,1.462731,1.23026
145.2276,2.376524,1.467977,1.337626
114.2917,2.613298,1.420697,1.597318
92.82172,2.779227,1.453227,1.870424
79.09369,2.761543,1.572271,1.959739
69.4455,2.913419,1.673033,2.188881
63.35953,2.98648,1.748742,2.251122
59.74538,2.981882,1.669123,2.253907
57.42202,3.06738,2.066331,2.248572
55.70909,3.152157,2.134575,2.312463
54.84601,3.103547,2.088366,2.396996
53.4509,3.098826,2.12564,2.444041
52.22485,3.22719,2.292072,2.573739
51.78282,3.170856,2.343664,2.723644
52.04893,3.194513,2.231352,3.072356
53.16872,3.025744,2.195765,3.267605
55.4128,3.275274,2.279803,3.404871
58.49862,3.409693,2.336072,3.500647
63.34044,3.477622,2.514017,3.565513
74.31396,3.577382,3.039074,3.644104
94.36446,3.569381,3.298206,3.801622
126.1646,3.488438,3.461071,4.069486
172.2154,3.583877,3.608001,4.391116
234.3213,3.8061,3.881182,4.564049
312.4729,3.889354,4.153778,4.618931
414.4417,4.2411,4.310906,4.829462
524.0443,4.544716,4.509151,4.99451
630.8516,5.211844,4.729742,5.130895
724.0431,5.836869,4.946353,5.370439
792.8672,6.563469,5.360382,5.697528
829.2391,6.930991,5.823736,5.926224
832.567,6.868446,6.097286,6.148043
799.1547,6.909134,6.390718,6.897266
739.0645,7.149506,6.792385,7.557322
660.3929,7.180478,7.470432,7.987879
571.6237,7.382102,8.328442,8.37096
482.3484,7.479923,9.105361,8.72912
401.019,7.758816,9.815545,9.072656
327.7176,8.170416,10.38767,9.466372
265.6406,8.98262,10.82612,9.978875
213.7451,9.86751,11.39495,10.71117
169.7312,10.60708,12.1006,11.32344
134.5169,11.42311,12.97651,12.19
108.6922,12.57856,13.91324,13.49303
90.5893,14.06751,14.97371,14.94916
78.71186,15.72163,16.44977,16.43264
71.68763,17.38039,18.13323,17.94944
67.57404,19.1754,19.55797,19.4797
65.15119,20.87123,21.28213,20.99598
63.66919,22.64205,23.27864,22.77174
62.63504,24.52319,25.24421,24.69113
61.79834,26.83644,27.73153,26.91678
62.1261,29.14209,31.07774,29.0929
63.43048,31.7126,34.58184,31.1747
66.37502,35.83152,39.06046,33.40884
70.17718,43.23373,47.0871,36.60993
77.3786,56.08456,61.52626,42.71952
92.76652,77.68383,84.53748,55.11627
121.0518,113.0625,121.1734,78.30238
164.1715,171.333,184.7336,122.225
230.8067,253.1083,274.2758,192.5805
325.2817,365.6846,395.3413,295.9506
443.6768,501.8037,545.918,434.7647
578.3221,649.1672,701.6805,594.4885
717.2832,788.3356,838.5668,751.9164
844.2743,900.4067,939.0815,883.6761
941.0043,971.9448,989.5269,970.4516
988.8008,996.832,982.6835,997.8857
990.848,974.6313,920.4429,958.1845
951.8146,909.2455,812.8854,858.6703
876.8877,815.2119,682.3307,722.3092
774.7505,701.4872,541.3517,569.6707
660.8603,590.2776,416.2895,423.9365
551.2576,487.9882,319.0644,303.4877
451.5737,397.9642,242.2042,214.3367
365.614,317.3983,182.611,150.7743
292.4721,246.0169,138.3943,107.5113
230.9724,185.623,105.827,81.01907
179.7071,137.5614,81.73069,64.03882
136.0406,100.654,65.14812,53.32975
103.0463,72.70924,52.99421,45.3746
80.50089,54.36286,43.98141,39.7029
